"ID","Name","Published Date","Video Views","Engagement Score","Video Percent Viewed" 
"4830268605001","Brand Hub Banner.mp4","2016-04-04T11:54:39.270Z","1","0","0"
"4832323459001","EY Vision 2020 Promo","2016-04-05T16:22:40.062Z","0","0","0"
"4836143763001","Wildlife.wmv","2016-04-07T18:50:44.333Z","0","0","0"
"4840553225001","20115573 TAS Open 6_24_11.flv","2016-04-11T11:54:50.353Z","0","0","0"
"4861804931001","3-CIOAgenda.mp4","2016-04-25T14:46:31.198Z","0","0","0"
"4923016347001","Sales navigator overview","2016-06-01T17:17:50.045Z","0","0","0"
"4923008786001","Transform your profile","2016-06-01T17:20:11.169Z","0","0","0"
"4923016388001","DiscMobileBVedit.mp4","2016-06-01T17:31:49.205Z","0","0","0"
"4930169281001","Richard Sudlow: Smart at EDF","2016-06-07T13:36:34.617Z","0","0","0"
"4932763471001","Business Pulse","2016-06-09T12:56:53.112Z","0","0","0"
"4932739097001","Hennie Human: Innovative smart solution for the City of Tshwane","2016-06-09T13:06:09.593Z","0","0","0"
"4932787204001","How to power video","2016-06-09T13:16:41.042Z","0","0","0"
"4932767172001","EY in SMART video","2016-06-09T13:18:56.232Z","0","0","0"
"4932788266001","Mark Hirschey: Customer and beyond the meter","2016-06-09T13:21:42.598Z","0","0","0"
"4932787239001","Mike Elzey: Grid modernization at a large US utility","2016-06-09T13:24:52.872Z","0","0","0"
"4932818495001","Orjan Bye: Norway's smart rollout","2016-06-09T13:29:55.508Z","0","0","0"
"4932852086001","RWE npower - Smart Transformation Program","2016-06-09T14:11:06.097Z","0","0","0"
"4932853602001","What sector means to EY","2016-06-09T14:16:28.384Z","3","30.85","92.54"
"4932958195001","Arizona Public Service - Customer Transformation Program","2016-06-09T15:12:23.573Z","0","0","0"
"4932914527001","Duke Energy - Cyber Security Transformation","2016-06-09T15:14:16.475Z","0","0","0"
"4932958229001","EDF - Nuclear New Build Program","2016-06-09T15:15:56.894Z","0","0","0"
"4932958242001","EDF - Nuclear New Build Program (Combined)","2016-06-09T15:18:07.841Z","0","0","0"
"4932933317001","Women P&U","2016-06-09T15:20:16.422Z","0","0","0"
"4967683371001","TEST-Discover-Sires.mp4","2016-06-21T14:52:29.551Z","0","0","0"
"4973863581001","A brief history of the oil industry part II","2016-06-22T17:43:47.240Z","5","59.09","295.44"
"4973822098001","A brief history of the oil industry part III","2016-06-22T17:44:10.475Z","5","55.52","277.59"
"4973976730001","Middle Market and Vision 2020","2016-06-22T18:16:41.595Z","0","0","0"
"4973990254001","Capital Strategies Delivered highlights v2","2016-06-22T18:17:07.042Z","0","0","0"
"4973974718001","Our Digital agenda","2016-06-22T18:17:21.525Z","0","0","0"
"4973999833001","Transaction Strategies","2016-06-22T18:17:34.138Z","0","0","0"
"4974386762001","Who will survive the oil and gas shakeout?","2016-06-22T19:48:08.929Z","0","0","0"
"4996349110001","Family Business Basics – Key elements of a family meeting.mp4","2016-06-27T09:37:10.755Z","0","0","0"
"4998645284001","Offshore E&P platforms: an overview part II","2016-06-27T20:49:12.245Z","1","98.24","98.24"
"5001778542001","Canada's oil sands part I","2016-06-28T12:40:35.243Z","1","1.77","1.77"
"5001886937001","Fracking for gas","2016-06-28T12:44:21.174Z","0","0","0"
"5001858504001","Well completions Part II","2016-06-28T12:46:12.768Z","1","100","100"
"5001944417001","Well completions Part I","2016-06-28T13:07:45.630Z","1","102.15","102.15"
"5001887005001","Well completions Part III","2016-06-28T13:08:06.608Z","1","100","100"
"5001829951001","Sand control Part I","2016-06-28T13:08:27.717Z","1","99.47","99.47"
"5001887006001","Sand control Part II","2016-06-28T13:08:45.500Z","0","0","0"
"5001917427001","Introduction to LNG","2016-06-28T13:24:35.568Z","1","100","100"
"5001990049001","LNG: The liquefaction process","2016-06-28T13:36:34.383Z","0","0","0"
"5002328531001","Commercial and Procurement – Internal offerings","2016-06-28T14:56:17.754Z","1","0","0"
"5002315213001","Introduction to our Commercial and Procurement offerings","2016-06-28T14:56:36.576Z","2","3","6.01"
"5002276154001","Commercial and Procurement – Strategy, analytics and reporting","2016-06-28T14:57:09.579Z","1","2.31","2.31"
"5002268602001","Commercial and Procurement – External offerings","2016-06-28T14:57:31.991Z","1","0","0"
"5002315241001","IT/OT Advisory - Enterprise intelligence","2016-06-28T15:04:15.437Z","4","56.2","224.8"
"5002405028001","Operational Excellence - Target Model and Integrated Businesses","2016-06-28T15:27:25.921Z","2","2.94","5.88"
"5002406335001","Introduction to Operational Excellence","2016-06-28T15:27:41.208Z","2","0","0"
"5002405629001","Operational Excellence - Assess Reliability and Integrity Management","2016-06-28T15:27:52.414Z","2","2.26","4.53"
