"ID","Name","Reference ID","Description","Date Added","Date Last Modified","Filename","Resolution","Duration(sec)","HLS Renditions (bitrate range KBPS)","MP4 Renditions (bitrate range KBPS)","FLV Renditions (bitrate range KBPS)","Total Rendition Size (MB)","0","1",
"1754261437001","Water-Splashing","1754261437001","Water-Splashing","2012-07-25T20:12:44.141Z","2017-10-23T11:56:47.629Z","Water-Splashing.mp4","480x270","18.16","1 (440-440)","4 (134.874-500)","0 (0-0)","NaN","","",
"1754234236001","Water-Liquid-Flow","1754234236001","Water-Liquid-Flow","2012-07-25T20:12:46.471Z","2017-10-23T11:56:59.391Z","Water-Liquid-Flow.mp4","480x270","10","1 (438-438)","4 (125.681-462)","0 (0-0)","NaN","","",
"1754261438001","Water-Droplet","1754261438001","Water-Droplet","2012-07-25T20:12:48.710Z","2017-10-23T11:56:42.413Z","Water-Droplet.mp4","480x270","15.467","1 (440-440)","4 (135.334-500)","0 (0-0)","NaN","","",
"1754261637001","Water-Bubbles","1754261637001","Water-Bubbles","2012-07-25T20:12:49.560Z","2017-10-23T11:57:37.678Z","Water-Bubbles.mp4","400x224","11.2","0 (0-0)","2 (82-189.95)","0 (0-0)","NaN","","",
"1754261464001","Space-Planets","1754261464001","Space-Planets","2012-07-25T20:21:35.420Z","2017-10-23T11:56:54.939Z","Space-Planets.mp4","1280x720","26.667","4 (440-1928)","6 (135.675-1800)","0 (0-0)","NaN","","",
"1754276203001","Space-Galaxy","1754276203001","Space-Galaxy","2012-07-25T20:30:35.747Z","2017-10-23T11:56:55.997Z","Space-Galaxy.mp4","1280x720","20","4 (480.026-1928)","6 (129.339-1800)","0 (0-0)","NaN","","",
"1754276205001","Sea-SeaTurtle","1754276205001","Sea-SeaTurtle","2012-07-25T20:30:53.870Z","2017-10-23T11:56:52.679Z","Sea-SeaTurtle.mp4","720x404","30.001","3 (514-2064)","4 (499.923-1783.704)","0 (0-0)","NaN","","",
"1754276206001","Sea-Dolphins","1754276206001","Sea-Dolphins","2012-07-25T20:30:55.148Z","2017-10-23T11:56:52.025Z","Sea-Dolphins.mp4","400x224","12.847","0 (0-0)","4 (126.054-324)","0 (0-0)","NaN","","",
"1754261687001","Sea-Crab","1754261687001","Sea-Crab","2012-07-25T20:31:10.954Z","2017-10-23T11:56:51.611Z","Sea-Crab.mp4","720x404","29.184","4 (403-1803)","6 (103.305-1672.848)","0 (0-0)","NaN","","",
"1754261689001","Sea_SeaHorse","1754261689001","Sea_SeaHorse","2012-07-25T20:31:20.293Z","2017-10-23T11:56:49.014Z","Sea_SeaHorse.mp4","640x344","29.2","4 (467.998-1585)","7 (138.383-1585)","0 (0-0)","NaN","","",
"1754261492001","Sea_LionFish","1754261492001","Sea_LionFish","2012-07-25T20:31:30.088Z","2017-10-23T11:57:03.403Z","Sea_LionFish.mp4","640x344","28.88","4 (440-1631)","7 (136.172-1631)","0 (0-0)","NaN","","",
